alte_url,neue_url,redirect_typ,prioritaet,kommentar
"/personal-zeiterfassung-fur-ihren-betrieb/","/ressourcen/blog/personal-zeiterfassung",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/digitale-stechuhr-ohne-monatliche-kosten/","/ressourcen/blog/digitale-stechuhr",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/kontakt/","/kontakt",unchanged,MITTEL,"Kontakt - behaelt URL"
"/datenschutz/","/datenschutz",unchanged,NIEDRIG,"Datenschutz - behaelt URL"
"/impressum/","/impressum",unchanged,NIEDRIG,"Impressum - behaelt URL"
"/agb-gunstige-zeiterfassung-fur-kleinbetriebe/","/agb",301,NIEDRIG,"AGB -> kurze URL"
"/rfid/","/zeiterfassungssysteme/chip",301,HOCH,"Ranking: zeiterfassungsgeraete mit chip (Pos 4, 6.8 ETV)"
"/cookie-policy-eu/","/datenschutz",301,NIEDRIG,"Cookie Policy -> Datenschutz integriert"
"/fragebogen-zeiterfassung-zfdm/","/kontakt",301,NIEDRIG,"Fragebogen -> Kontakt"
"/module-intern/","/zeiterfassungssysteme",301,NIEDRIG,"Module -> Systeme-Uebersicht"
"/pop-up/","/",301,NIEDRIG,"Pop-up Seite -> Homepage (entfernen)"
"/step-by-step-instruction-with-chip/","/ressourcen/videoanleitungen",301,NIEDRIG,"Anleitung Chip -> Videos"
"/step-by-step-instruction-with-fingerprint/","/ressourcen/videoanleitungen",301,NIEDRIG,"Anleitung Fingerprint -> Videos"
"/step-by-step-instruction-with-facial-recognition/","/ressourcen/videoanleitungen",301,NIEDRIG,"Anleitung Gesicht -> Videos"
"/privacy-policy/","/datenschutz",301,NIEDRIG,"EN Privacy -> DE Datenschutz"
"/privacy-policy-2/","/datenschutz",301,NIEDRIG,"EN Privacy 2 -> DE Datenschutz"
"/kundenrezension-digitale-zeiterfassung-augenarzt-dr-kulmbach/","/branchen/arztpraxen",301,NIEDRIG,"Kundenstimme -> Branchen-Seite"
"/kundenstimme-zu-unserer-digitalen-mitarbeiter-zeiterfassung-in-der-zahnarztpraxis-nadjar/","/branchen/arztpraxen",301,NIEDRIG,"Kundenstimme -> Branchen-Seite"
"/elementor-410/","/branchen/arztpraxen",301,NIEDRIG,"Kundenstimme Dr. Gehlmann -> Branchen-Seite"
"/ms-bernatz-accounting-and-controlling/","/branchen",301,NIEDRIG,"Kundenstimme EN -> Branchen"
"/in/","/",301,NIEDRIG,"EN Index -> DE Homepage"
"/in/home-2/","/",301,NIEDRIG,"EN Home -> DE Homepage"
"/in/about-us/","/ueber-uns",301,NIEDRIG,"EN About -> DE Ueber uns"
"/in/time-recording-system-with-chip/","/zeiterfassungssysteme/chip",301,HOCH,"ACHTUNG: Hat Rankings! time recording (Pos 10, 18.4 ETV)"
"/in/time-recording-with-fingerprint/","/zeiterfassungssysteme/fingerabdruck",301,NIEDRIG,"EN Fingerprint -> DE"
"/in/time-recording-system-with-facial-recognition/","/zeiterfassungssysteme/gesichtserkennung",301,NIEDRIG,"EN Gesichtserkennung -> DE"
"/in/prices-2/","/preise",301,NIEDRIG,"EN Prices -> DE Preise"
"/in/prices-for-time-recording-systems-with-chip/","/preise",301,NIEDRIG,"EN Prices Chip -> DE Preise"
"/in/prices-for-fingerprint-time-recording-systems-2/","/preise",301,NIEDRIG,"EN Prices Finger -> DE Preise"
"/in/prices-for-time-tracking-with-facial-recognition/","/preise",301,NIEDRIG,"EN Prices Gesicht -> DE Preise"
"/in/references-2/","/branchen",301,NIEDRIG,"EN References -> DE Branchen"
"/in/contact-us/","/kontakt",301,NIEDRIG,"EN Contact -> DE Kontakt"
"/in/data-protection/","/datenschutz",301,NIEDRIG,"EN Data Protection -> DE Datenschutz"
"/in/imprint/","/impressum",301,NIEDRIG,"EN Imprint -> DE Impressum"
"/in/terms-and-conditions/","/agb",301,NIEDRIG,"EN Terms -> DE AGB"
"/in/blog-2/","/ressourcen/blog",301,NIEDRIG,"EN Blog -> DE Blog"
"/in/blog-2/page/2/","/ressourcen/blog",301,NIEDRIG,"EN Blog Page 2 -> DE Blog"
"/in/questionnaire/","/kontakt",301,NIEDRIG,"EN Questionnaire -> DE Kontakt"
"/in/video-tutorial/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Videos -> DE Videos"
"/in/step-by-step-instruction-with-chip/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Anleitung Chip -> DE Videos"
"/in/step-by-step-instruction-with-fingerprint/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Anleitung Finger -> DE Videos"
"/in/step-by-step-instruction-with-facial-recognition/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Anleitung Gesicht -> DE Videos"
"/in/step-by-step-instructions-with-fingerprint/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Anleitung Finger 2 -> DE Videos"
"/in/step-by-step-instructions-with-facial-recognition/","/ressourcen/videoanleitungen",301,NIEDRIG,"EN Anleitung Gesicht 2 -> DE Videos"
"/in/time-recording-for-small-businesses/","/branchen/kleinbetriebe",301,NIEDRIG,"EN Small Business -> DE Kleinbetriebe"
"/in/time-recording-in-kindergarten/","/branchen/kindergarten",301,NIEDRIG,"EN Kindergarten -> DE Kindergarten"
"/affordable-simple-and-web-based-time-recording-for-medium-sized-businesses/","/branchen/mittelstand",301,NIEDRIG,"EN Mittelstand -> DE Mittelstand"
"/do-you-already-use-a-time-recording-system-in-your-small-business/","/branchen/kleinbetriebe",301,NIEDRIG,"EN Small Business -> DE Kleinbetriebe"
"/employee-time-recording-for-your-company/","/",301,NIEDRIG,"EN Artikel -> Homepage"
"/employee-time-recording-system-with-no-monthly-costs/","/zeiterfassungssysteme",301,NIEDRIG,"EN Artikel -> Systeme"
"/employee-time-tracking-the-key-to-business-success/","/",301,NIEDRIG,"EN Artikel -> Homepage"
"/employee-time-tracking-without-monthly-costs/","/zeiterfassungssysteme",301,NIEDRIG,"EN Artikel -> Systeme"
"/how-much-does-a-time-recording-system-cost-for-small-businesses/","/preise",301,NIEDRIG,"EN Kosten -> DE Preise"
"/is-time-recording-now-mandatory-for-small-businesses/","/ressourcen/blog/arbeitszeiterfassung-pflicht",301,NIEDRIG,"EN Pflicht-Artikel -> DE Blog"
"/mobile-and-affordable-employee-time-recording-with-wi-fi/","/ressourcen/blog/mobile-zeiterfassung",301,NIEDRIG,"EN Mobile -> DE Blog"
"/time-recording-system-guide-working-time-recording-for-small-and-medium-sized-businesses/","/ressourcen/blog",301,NIEDRIG,"EN Guide -> DE Blog"
"/time-recording-with-excel-or-digital-time-recording/","/ressourcen/blog/zeiterfassung-mit-excel",301,NIEDRIG,"EN Excel -> DE Blog"
